Name,Taxon ID,Type,Reference ID,GI ID
Oceanicaulis sp. HTCC2633,314254,species,NZ_CH672428.1,209401239
Roseovarius sp. 217,314264,species,NZ_CH902584.1,209401264
Oceanicola granulosus HTCC2516,314256,strain,NZ_CH724107.1,211593999
Neptuniibacter caesariensis,207954,species,NZ_CH724126.1,211594018
Sphingomonas sp. SKA58,314266,species,NZ_CH959306.1,211594415
Nitrococcus mobilis Nb-231,314278,strain,NZ_CH672427.1,211606481
Novacetimonas hansenii ATCC 23769,714995,strain,NZ_CM000920.1,296163921
Corynebacterium genitalium ATCC 33030,585529,strain,NZ_CM000961.1,306516817
Aeromicrobium marinum DSM 15272,585531,strain,NZ_CM001024.1,312146949
Aminomonas paucivorans DSM 12260,584708,strain,NZ_CM001022.1,312878752
Bacteroides coprosuis DSM 18011,679937,strain,NZ_CM001167.1,333029141
Brenneria sp. EniD312,598467,species,NZ_CM001230.1,354595497
Streptomyces sp. S4,889487,species,NZ_CADY01000105.1,358468428
Clostridium sp. DL-VIII,641107,species,NZ_CM001240.1,359409685
Oenococcus kitaharae DSM 17330,1045004,strain,NZ_CM001398.1,372325750
Mucilaginibacter paludis DSM 18603,714943,strain,NZ_CM001403.1,373951708
Desulfosporosinus youngiae DSM 17734,768710,strain,NZ_CM001441.1,374578721
Burkholderiales bacterium JOSHI_001,864051,species,NZ_CM001438.1,375103383
Magnetospirillum molischianum DSM 120,1150626,strain,NZ_CAHP01000047.1,381168885
Saccharomonospora glauca K62,928724,strain,NZ_CM001484.1,384563951
[Eubacterium] cellulosolvens 6,633697,strain,NZ_CM001487.1,389575461
Senegalimassilia anaerobia JC110,1034345,strain,NZ_CAEM01000063.1,389622029
Senegalimassilia anaerobia JC110,1034345,strain,NZ_CAEM01000067.1,389622033
Senegalimassilia anaerobia JC110,1034345,strain,NZ_CAEM01000070.1,389622036
Senegalimassilia anaerobia JC110,1034345,strain,NZ_CAEM01000071.1,389622037
Senegalimassilia anaerobia JC110,1034345,strain,NZ_CAEM01000073.1,389622039
Senegalimassilia anaerobia JC110,1034345,strain,NZ_CAEM01000076.1,389622042
Senegalimassilia anaerobia JC110,1034345,strain,NZ_CAEM01000077.1,389622043
Senegalimassilia anaerobia JC110,1034345,strain,NZ_CAEM01000078.1,389622044
Senegalimassilia anaerobia JC110,1034345,strain,NZ_CAEM01000083.1,389622049
Thermoanaerobacter siderophilus SR4,880478,strain,NZ_CM001486.1,392938864
Lactobacillus pasteurii DSM 23907 = CRBIP 24.76,1423790,strain,NZ_CAKD01000009.1,395241407
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000001.1,395242873
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000002.1,395243098
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000003.1,395243457
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000004.1,395243500
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000005.1,395243655
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000010.1,395243786
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000011.1,395243927
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000015.1,395244109
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000016.1,395244191
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000017.1,395244192
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000018.1,395244225
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000020.1,395244294
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000021.1,395244351
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000022.1,395244363
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000034.1,395244654
Lactobacillus hominis DSM 23910 = CRBIP 24.179,1423758,strain,NZ_CAKE01000035.1,395244705
Caloramator australicus RC3,857293,strain,NZ_CAKP01000021.1,397904332
Caloramator australicus RC3,857293,strain,NZ_CAKP01000066.1,397905052
Caloramator australicus RC3,857293,strain,NZ_CAKP01000112.1,397906031
Caloramator australicus RC3,857293,strain,NZ_CAKP01000113.1,397906045
Caloramator australicus RC3,857293,strain,NZ_CAKP01000120.1,397906211
Kurthia massiliensis,1033739,species,NZ_CAEU01000108.1,403048394
Jonquetella anthropi DSM 22815,885272,strain,NZ_CM001376.1,424844169
Geminocystis herdmanii PCC 6308,113355,strain,NZ_CM001775.1,482909120
Anaerococcus senegalensis JC48,1033733,strain,NZ_CAEK01000025.1,483967354
Anaerococcus senegalensis JC48,1033733,strain,NZ_CAEK01000035.1,483967397
Phytobacter massiliensis JC163,1095768,strain,NZ_CAEO01000192.1,483968038
Actinomyces sp. ph3,1118058,species,NZ_CAGY01000001.1,484028653
Actinomyces sp. ph3,1118058,species,NZ_CAGY01000002.1,484028657
Actinomyces sp. ph3,1118058,species,NZ_CAGY01000003.1,484028662
Actinomyces sp. ph3,1118058,species,NZ_CAGY01000005.1,484028670
Actinomyces sp. ph3,1118058,species,NZ_CAGY01000007.1,484028678
Actinomyces sp. ph3,1118058,species,NZ_CAGY01000008.1,484028682
Alistipes communis,2585118,species,NZ_CAHA01000059.1,484028878
Alistipes senegalensis JC50,1033732,strain,NZ_CAHI01000039.1,484029925
Ruminococcus sp. JC304,1095771,species,NZ_CAHL01000242.1,484030376
Ruminococcus sp. JC304,1095771,species,NZ_CAHL01000243.1,484030380
Ruminococcus sp. JC304,1095771,species,NZ_CAHL01000245.1,484030388
Ruminococcus sp. JC304,1095771,species,NZ_CAHL01000246.1,484030392
Ruminococcus sp. JC304,1095771,species,NZ_CAHL01000247.1,484030397
Staphylococcus delphini 8086,1141105,strain,NZ_CAIA01000170.1,484031751
Brevibacterium ravenspurgense 5401308 = CCUG 53855,1176165,strain,NZ_CAJD01000007.1,484033506
Sedimentibacter sp. B4,304766,species,NZ_CANG01000041.1,484043575
Enorma timonensis,1232436,species,NZ_CAPF01000061.1,484063287
Bacillus sp. AP8,1513284,species,NZ_CAPG01000065.1,484063848
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000001.1,484064187
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000002.1,484064191
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000003.1,484064195
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000004.1,484064198
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000005.1,484064202
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000006.1,484064206
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000007.1,484064211
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000008.1,484064215
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000009.1,484064219
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000010.1,484064224
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000011.1,484064228
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000012.1,484064232
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000013.1,484064236
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000014.1,484064241
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000015.1,484064245
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000016.1,484064249
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000017.1,484064254
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000018.1,484064258
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000019.1,484064262
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000020.1,484064267
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000021.1,484064271
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000022.1,484064275
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000023.1,484064280
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000024.1,484064282
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000025.1,484064287
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000026.1,484064292
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000027.1,484064295
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000028.1,484064299
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000030.1,484064308
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000033.1,484064321
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000036.1,484064333
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000045.1,484064370
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000052.1,484064396
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000058.1,484064421
Alistipes ihumii AP11,1211813,strain,NZ_CAPH01000060.1,484064429
Serratia sp. C-1,1286279,species,NZ_CAQO01000068.1,484065403
Serratia sp. C-1,1286279,species,NZ_CAQO01000093.1,484065494
Serratia sp. C-1,1286279,species,NZ_CAQO01000110.1,484065563
Serratia sp. C-1,1286279,species,NZ_CAQO01000118.1,484065597
Oceanobacillus kimchii X50,1238184,strain,NZ_CM001792.1,484122473
Rhodococcus aetherivorans,191292,species,NZ_CAVJ010000054.1,493990707
Rhodococcus aetherivorans,191292,species,NZ_CAVJ010000065.1,493991543
Rhodococcus aetherivorans,191292,species,NZ_CAVJ010000117.1,493995033
Rhodococcus aetherivorans,191292,species,NZ_CAVJ010000250.1,494004020
Rhodococcus aetherivorans,191292,species,NZ_CAVJ010000258.1,494004365
Providencia sneebia DSM 19967,1141660,strain,NZ_CM001773.1,507121141
Musicola paradisiaca NCPPB 2511,1224150,strain,NZ_CM001857.1,512451044
Dickeya sp. NCPPB 3274,568766,species,NZ_CM001979.1,514075492
Dickeya chrysanthemi NCPPB 3533,1224148,strain,NZ_CM001981.1,514075519
Dickeya sp. DW 0440,1225785,species,NZ_CM001983.1,514075580
Dickeya sp. MK7,1224145,species,NZ_CM001984.1,514075602
Avibacterium paragallinarum JF4211,1351754,strain,NZ_CBMK010000004.1,545595213
Erwinia piriflorinigrans CFBP 5888,1161919,strain,NZ_CAHS01000015.1,562748643
Congregibacter litoralis KT71,314285,strain,NZ_CM002299.1,597620814
Psychromonas sp. SP041,1365007,species,NZ_CBRF010000063.1,646608027
Psychromonas sp. SP041,1365007,species,NZ_CBRF010000369.1,646627027
Candidatus Contendobacter odensis Run_B_J11,1400861,strain,NZ_CBTK010000033.1,736407988
Candidatus Contendobacter odensis Run_B_J11,1400861,strain,NZ_CBTK010000269.1,736412810
Clostridium ihumii AP5,1211817,strain,NZ_CCAT010000003.1,736415789
Clostridium ihumii AP5,1211817,strain,NZ_CCAT010000009.1,736416687
Clostridium ihumii AP5,1211817,strain,NZ_CCAT010000011.1,736416748
Clostridium ihumii AP5,1211817,strain,NZ_CCAT010000012.1,736417010
Clostridium ihumii AP5,1211817,strain,NZ_CCAT010000039.1,736417737
Clostridium ihumii AP5,1211817,strain,NZ_CCAT010000041.1,736417998
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000001.1,736763289
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000003.1,736763353
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000006.1,736763571
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000009.1,736763677
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000010.1,736763926
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000012.1,736764053
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000014.1,736764162
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000015.1,736764207
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000017.1,736764251
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000022.1,736764591
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000023.1,736764634
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000027.1,736764753
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000028.1,736764844
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000032.1,736764953
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000035.1,736765239
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000036.1,736765300
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000038.1,736765486
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000039.1,736765648
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000042.1,736765803
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000044.1,736766090
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000045.1,736766391
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000047.1,736766490
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000050.1,736766640
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000052.1,736766836
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000054.1,736766882
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000059.1,736766947
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000061.1,736767375
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000062.1,736767498
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000066.1,736768111
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000068.1,736768272
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000069.1,736768298
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000072.1,736768493
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000073.1,736768536
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000077.1,736768636
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000079.1,736768869
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000081.1,736768961
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000083.1,736769126
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000084.1,736769172
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000085.1,736769203
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000087.1,736769238
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000088.1,736769303
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000092.1,736769471
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000096.1,736769655
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000098.1,736769694
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000101.1,736769805
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000102.1,736770053
Caldibacillus thermoamylovorans,35841,species,NZ_CCRF01000103.1,736770157
Devosia sp. DBB001,1380412,species,NZ_CCAO010000002.1,737032668
Hydrogenophaga intermedia,65786,species,NZ_CCAE010000003.1,737650605
Hydrogenophaga intermedia,65786,species,NZ_CCAE010000033.1,737652951
Hydrogenophaga intermedia,65786,species,NZ_CCAE010000062.1,737654091
Hydrogenophaga intermedia,65786,species,NZ_CCAE010000077.1,737654495
Hydrogenophaga intermedia,65786,species,NZ_CCAE010000085.1,737654674
Oceanobacillus picturae,171693,species,NZ_CCAX010000001.1,738676910
