,NC_008618.1,NZ_CP016019.1,NZ_KE150481.1,NZ_LZSZ01000039.1
NC_008618.1,,,,1.0
NZ_CP016019.1,,,,1.0
NZ_KE150481.1,,,,1.0
NZ_LZSZ01000039.1,1.0,1.0,1.0,
