,NC_010655.1,NC_012781.1,NZ_LZSZ01000039.1,NZ_MWTQ01000056.1
NC_010655.1,,,1.0,
NC_012781.1,,,,1.0
NZ_LZSZ01000039.1,1.0,,,
NZ_MWTQ01000056.1,,1.0,,
