,NZ_AAXW01000149.1,NZ_AOHQ01000014.1,NZ_AP012324.1,NZ_AWXP01000046.1,NZ_BACU01000424.1,NZ_CP018757.1,NZ_CZJT01000016.1,NZ_CZJT01000075.1,NZ_CZJV02000012.1,NZ_CZJV02000237.1,NZ_FBWL01000032.1,NZ_FBWL01000039.1,NZ_FBWL01000145.1,NZ_FBWN01000081.1,NZ_FBWN01000181.1,NZ_FBWO01000121.1,NZ_FBWO01000159.1,NZ_FBWO01000331.1,NZ_FZMO01000516.1,NZ_GG698602.1,NZ_JMQR01000270.1,NZ_JNYZ01000041.1,NZ_JOIS01000064.1,NZ_JPQD01000184.1,NZ_JPQD01000355.1,NZ_JPQD01000364.1,NZ_KV811623.1,NZ_LGEL01000191.1,NZ_LGEL01000197.1,NZ_LGEL01000214.1,NZ_LGEL01000336.1,NZ_LJIY01000039.1,NZ_LJRZ01000061.1,NZ_LJRZ01000789.1,NZ_LJSB01000190.1,NZ_LMSB01000071.1,NZ_LQZT01000036.1,NZ_LSIX01000427.1,NZ_LTAB01000093.1,NZ_LTAB01000098.1,NZ_LXSU01000122.1,NZ_LYRQ01000127.1,NZ_LZSC01000001.1,NZ_LZSC01000066.1,NZ_LZSE01000001.1,NZ_LZSE01000015.1,NZ_LZSE01000027.1,NZ_LZSH01000161.1,NZ_LZSZ01000034.1,NZ_LZSZ01000039.1,NZ_LZTA01000083.1,NZ_LZTC01000002.1,NZ_LZTC01000038.1,NZ_LZTC01000052.1,NZ_LZTD01000027.1,NZ_LZTD01000052.1,NZ_LZTD01000095.1,NZ_LZTD01000143.1,NZ_MKPY01000053.1,NZ_MKPY01000074.1,NZ_MPOR01000079.1,NZ_MPRK01000378.1,NZ_MSRF01000238.1,NZ_MUHV01000028.1,NZ_MVKV01000055.1,NZ_NAEX01000054.1,NZ_NDFI01000054.1,NZ_NHRF01000060.1,NZ_NHRF01000112.1,NZ_NOWF01000035.1,NZ_NPMS01000031.1,NZ_NPMW01000058.1,NZ_NPMW01000102.1,NZ_NPMW01000160.1,NZ_PEKU01000294.1,NZ_PEKU01000372.1,NZ_PEKU01000379.1,NZ_PEKU01000387.1,NZ_PEKU01000388.1,NZ_PEKU01000405.1,NZ_PEKU01000435.1,NZ_PGVG01000137.1,NZ_PIZR01000043.1
NZ_AAXW01000149.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AOHQ01000014.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AP012324.1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AWXP01000046.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_BACU01000424.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
NZ_CP018757.1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CZJT01000016.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CZJT01000075.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CZJV02000012.1,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
NZ_CZJV02000237.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
NZ_FBWL01000032.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
