,NZ_BACU01000424.1,NZ_CAEU01000108.1,NZ_JOIZ01000131.1,NZ_LGEL01000222.1,NZ_LJIY01000039.1,NZ_LZSC01000061.1,NZ_LZSC01000066.1,NZ_LZSE01000015.1,NZ_LZSE01000027.1,NZ_LZSH01000161.1,NZ_MKQB01000032.1,NZ_MPBI01000023.1,NZ_MPNT01000021.1,NZ_MSRF01000238.1,NZ_NDFI01000072.1,NZ_OAOF01000087.1,NZ_PEKU01000294.1,NZ_PEKU01000381.1,NZ_PEKU01000405.1,NZ_PEKU01000473.1,NZ_PIZR01000046.1
NZ_BACU01000424.1,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,
NZ_CAEU01000108.1,,,,,,,,,,,,,1.0,,,,,,,,
NZ_JOIZ01000131.1,,,,,,,,,,,,,1.0,,,,,,,,
NZ_LGEL01000222.1,,,,,,1.0,,,,,,,,,,,,,,,1.0
NZ_LJIY01000039.1,,,,,,,,,1.0,,,,,,,,,,,,
NZ_LZSC01000061.1,,,,1.0,,,,,,,,,,,,,,,,1.0,
NZ_LZSC01000066.1,,,,,,,,,1.0,,,,,,,,,,,,
NZ_LZSE01000015.1,,,,,,,,,1.0,,,,,,,,,,,,
NZ_LZSE01000027.1,,,,,1.0,,1.0,1.0,,2.0,,,,,,,,,,,
NZ_LZSH01000161.1,,,,,,,,,2.0,,,,,,,,,,,,
NZ_MKQB01000032.1,,,,,,,,,,,,,,,,,1.0,,,,
NZ_MPBI01000023.1,,,,,,,,,,,,,1.0,,,,,,,,
NZ_MPNT01000021.1,,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,
NZ_MSRF01000238.1,1.0,,,,,,,,,,,,,,,,1.0,,,,
NZ_NDFI01000072.1,,,,,,,,,,,,,1.0,,,,,,,,
NZ_OAOF01000087.1,,,,,,,,,,,,,1.0,,,,,,,,
NZ_PEKU01000294.1,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,
NZ_PEKU01000381.1,,,,,,,,,,,,,1.0,,,,,,,,
NZ_PEKU01000405.1,1.0,,,,,,,,,,,,,,,,,,,,
NZ_PEKU01000473.1,,,,,,1.0,,,,,,,,,,,,,,,
NZ_PIZR01000046.1,,,,1.0,,,,,,,,,,,,,,,,,
