,NC_008618.1,NC_010655.1,NC_012781.1,NC_016616.1,NZ_AAXW01000149.1,NZ_ABGO01000704.1,NZ_AEKA01000104.1,NZ_AEKA01000126.1,NZ_AJGR01000127.1,NZ_AJGR01000348.1,NZ_AMRJ01000086.1,NZ_AOHQ01000007.1,NZ_AP012324.1,NZ_ATHV01000062.1,NZ_AWXP01000046.1,NZ_BACU01000424.1,NZ_BACU01000697.1,NZ_BACV01001116.1,NZ_BAFU01000138.1,NZ_BDQM01000413.1,NZ_CADY01000105.1,NZ_CP010350.1,NZ_CP012937.1,NZ_CP016019.1,NZ_CP018757.1,NZ_CP022412.2,NZ_CP022474.1,NZ_CP023706.1,NZ_CP024282.1,NZ_CP024885.1,NZ_CYXV01000016.1,NZ_CZJT01000016.1,NZ_CZJT01000039.1,NZ_CZJT01000051.1,NZ_CZJT01000067.1,NZ_CZJV02000012.1,NZ_CZJV02000067.1,NZ_CZJV02000098.1,NZ_CZJV02000127.1,NZ_CZJV02000157.1,NZ_CZJV02000237.1,NZ_FBWN01000048.1,NZ_JMQR01000270.1,NZ_JMQR01000282.1,NZ_JOHB01000062.1,NZ_JOJH01000258.1,NZ_JPIU01000011.1,NZ_JRGN01000044.1,NZ_JXXV01000071.1,NZ_KB851182.1,NZ_KE137291.1,NZ_KE137316.1,NZ_KN214138.1,NZ_KQ235739.1,NZ_KQ235740.1,NZ_KQ235741.1,NZ_KQ235745.1,NZ_KQ235746.1,NZ_KQ235749.1,NZ_KV786053.1,NZ_KV810629.1,NZ_KV810671.1,NZ_KV810673.1,NZ_KV810683.1,NZ_KV811623.1,NZ_KV814083.1,NZ_LGEL01000222.1,NZ_LGEL01000336.1,NZ_LGOW01000061.1,NZ_LIPU01000001.1,NZ_LJRX01000175.1,NZ_LJRX01000298.1,NZ_LJRX01000508.1,NZ_LJRY01000438.1,NZ_LJSA01000210.1,NZ_LJSA01000286.1,NZ_LJSB01000190.1,NZ_LMFT01000035.1,NZ_LMHD01000015.1,NZ_LMSB01000070.1,NZ_LMSB01000071.1,NZ_LQZT01000036.1,NZ_LSHP01000140.1,NZ_LTAB01000093.1,NZ_LTAB01000098.1,NZ_LUKC01000035.1,NZ_LYRQ01000127.1,NZ_LZSC01000031.1,NZ_LZSC01000039.1,NZ_LZSC01000061.1,NZ_LZSC01000066.1,NZ_LZSE01000001.1,NZ_LZSE01000015.1,NZ_LZSE01000027.1,NZ_LZSE01000051.1,NZ_LZSH01000161.1,NZ_LZSQ01000037.1,NZ_LZSQ01000106.1,NZ_LZSZ01000101.1,NZ_LZTA01000083.1,NZ_MBQA01000135.1,NZ_MKPY01000053.1,NZ_MPOR01000079.1,NZ_MPRK01000378.1,NZ_MPVN01000024.1,NZ_MRTK01000132.1,NZ_MRYA01000084.1,NZ_MTSD02000062.1,NZ_MTSD02000124.1,NZ_MUHV01000028.1,NZ_MVHE01000390.1,NZ_MZNT01000058.1,NZ_NAEX01000098.1,NZ_NAJR01000058.1,NZ_NDFI01000069.1,NZ_NGVM01000222.1,NZ_NHRF01000050.1,NZ_NHRF01000060.1,NZ_NHRF01000112.1,NZ_NOWF01000035.1,NZ_NOWF01000177.1,NZ_NPDO01000024.1,NZ_NPDO01000061.1,NZ_NPMS01000031.1,NZ_NPMS01000032.1,NZ_NPMW01000040.1,NZ_NPMW01000051.1,NZ_NPMW01000058.1,NZ_NPMW01000065.1,NZ_NPOA01000039.1,NZ_NPOA01000042.1,NZ_NPOA01000073.1,NZ_PEKU01000294.1,NZ_PEKU01000295.1,NZ_PEKU01000367.1,NZ_PEKU01000372.1,NZ_PEKU01000405.1,NZ_PEKU01000435.1,NZ_PEKU01000473.1,NZ_PIZR01000043.1,NZ_PIZR01000046.1,NZ_PJAI01000120.1
NC_008618.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_010655.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_012781.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_016616.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AAXW01000149.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_ABGO01000704.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AEKA01000104.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AEKA01000126.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AJGR01000127.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AJGR01000348.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AMRJ01000086.1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,
