,NZ_CP016019.1,NZ_FBWL01000058.1,NZ_LJSA01000210.1,NZ_LZSE01000027.1,NZ_LZSQ01000106.1,NZ_MPNT01000021.1,NZ_MPRK01000378.1
NZ_CP016019.1,,,,,2.0,,
NZ_FBWL01000058.1,,,,,,1.0,
NZ_LJSA01000210.1,,,,,,1.0,
NZ_LZSE01000027.1,,,,,,1.0,
NZ_LZSQ01000106.1,2.0,,,,,,
NZ_MPNT01000021.1,,1.0,1.0,1.0,,,1.0
NZ_MPRK01000378.1,,,,,,1.0,
