,NC_008618.1,NC_009614.1,NC_014933.1,NC_015160.1,NC_015164.1,NC_015166.1,NC_022239.1,NC_022245.1,NZ_AAVN02000016.1,NZ_AP012330.1,NZ_AQYB01000022.1,NZ_ATAO01000001.1,NZ_ATAO01000179.1,NZ_ATAO01000180.1,NZ_AVPG01000064.1,NZ_BAIV01000001.1,NZ_BAKK01000002.1,NZ_BAKK01000016.1,NZ_BAKK01000032.1,NZ_BAKK01000043.1,NZ_BAKK01000054.1,NZ_BAKK01000079.1,NZ_BAKK01000087.1,NZ_BAKK01000102.1,NZ_BAKL01000064.1,NZ_BAKL01000069.1,NZ_BAKL01000171.1,NZ_BAKL01000192.1,NZ_BAKL01000202.1,NZ_CBVI010000034.1,NZ_CBVI010000062.1,NZ_CBVI010000064.1,NZ_CBYM010000001.1,NZ_CBYM010000002.1,NZ_CBYM010000003.1,NZ_CBYM010000004.1,NZ_CBYM010000005.1,NZ_CBYM010000006.1,NZ_CBYM010000008.1,NZ_CBYM010000009.1,NZ_CBYM010000010.1,NZ_CBYM010000011.1,NZ_CBYM010000012.1,NZ_CBYM010000013.1,NZ_CBYM010000015.1,NZ_CBYM010000016.1,NZ_CBYM010000018.1,NZ_CBYM010000019.1,NZ_CBYM010000022.1,NZ_CBYM010000024.1,NZ_CBYM010000026.1,NZ_CBYM010000028.1,NZ_CBYM010000029.1,NZ_CBYM010000031.1,NZ_CBYM010000032.1,NZ_CBYM010000037.1,NZ_CBYM010000043.1,NZ_CBYM010000044.1,NZ_CBYM010000045.1,NZ_CBYM010000046.1,NZ_CBYM010000048.1,NZ_CBYM010000054.1,NZ_CBYM010000058.1,NZ_CBYM010000060.1,NZ_CBYM010000061.1,NZ_CBYM010000063.1,NZ_CBYM010000064.1,NZ_CBYM010000068.1,NZ_CBYM010000071.1,NZ_CBYM010000074.1,NZ_CBYM010000075.1,NZ_CBYM010000077.1,NZ_CBYM010000079.1,NZ_CBYM010000080.1,NZ_CBYM010000082.1,NZ_CBYM010000084.1,NZ_CBYM010000087.1,NZ_CBYM010000089.1,NZ_CBYM010000090.1,NZ_CBYM010000092.1,NZ_CBYM010000094.1,NZ_CBYM010000095.1,NZ_CBYM010000096.1,NZ_CBYM010000097.1,NZ_CBYM010000098.1,NZ_CBYM010000099.1,NZ_CM001167.1,NZ_CP007034.1,NZ_CP011531.1,NZ_CP012801.1,NZ_CP012937.1,NZ_CP015401.2,NZ_CP016019.1,NZ_CP021640.1,NZ_CP022412.2,NZ_CYZH01000015.1,NZ_CYZH01000028.1,NZ_CYZX01000010.1,NZ_CYZX01000030.1,NZ_CZAG01000001.1,NZ_CZAG01000011.1,NZ_DS362245.1,NZ_DS480318.1,NZ_DS499662.1,NZ_DS499673.1,NZ_DS499676.1,NZ_DS981430.1,NZ_EQ973358.1,NZ_EQ973368.1,NZ_EQ973379.1,NZ_EQ973632.1,NZ_EQ973635.1,NZ_EQ973639.1,NZ_EQ973664.1,NZ_FBWL01000032.1,NZ_FBWL01000046.1,NZ_FBWL01000128.1,NZ_FBWL01000131.1,NZ_FBWN01000016.1,NZ_FBWN01000092.1,NZ_FBWN01000097.1,NZ_FBWN01000129.1,NZ_FBWN01000135.1,NZ_FBWN01000238.1,NZ_FLTT01000058.1,NZ_FLTT01000075.1,NZ_FNCQ01000021.1,NZ_FNNN01000002.1,NZ_FNVV01000009.1,NZ_FNVV01000011.1,NZ_FNVV01000013.1,NZ_FQXY01000009.1,NZ_FQXY01000010.1,NZ_FRFF01000113.1,NZ_FRFF01000154.1,NZ_FUKQ01000049.1,NZ_FWFG01000052.1,NZ_GG705149.1,NZ_GG705153.1,NZ_GG705209.1,NZ_GG705213.1,NZ_GG705227.1,NZ_GG705228.1,NZ_GG705229.1,NZ_GG705230.1,NZ_GG705231.1,NZ_GG705232.1,NZ_GG705233.1,NZ_GG705234.1,NZ_GG705235.1,NZ_GG705236.1,NZ_GG705237.1,NZ_GG705238.1,NZ_GG705241.1,NZ_GG705260.1,NZ_GG730108.1,NZ_GG774955.1,NZ_GG774972.1,NZ_GG774987.1,NZ_GG774999.1,NZ_GL622505.1,NZ_GL635653.1,NZ_GL635657.1,NZ_GL635673.1,NZ_GL882585.1,NZ_GL882608.1,NZ_GL882688.1,NZ_GL883831.1,NZ_GL883870.1,NZ_GL945090.1,NZ_GL945093.1,NZ_HG917869.1,NZ_JAEW01000006.1,NZ_JANS01000005.1,NZ_JH114352.1,NZ_JH114353.1,NZ_JH114361.1,NZ_JH114362.1,NZ_JH114367.1,NZ_JH114376.1,NZ_JH114378.1,NZ_JH114379.1,NZ_JH114382.1,NZ_JH114387.1,NZ_JH114389.1,NZ_JH379449.1,NZ_JH414766.1,NZ_JH414767.1,NZ_JH594596.1,NZ_JH636018.1,NZ_JH636029.1,NZ_JH636040.1,NZ_JH724314.1,NZ_JH815203.1,NZ_JH976466.1,NZ_JH976467.1,NZ_JH992940.1,NZ_JIAF01000004.1,NZ_JNWO01000070.1,NZ_JNXE01000061.1,NZ_JOAW01000051.1,NZ_JOAW01000404.1,NZ_JOAW01000527.1,NZ_JOAW01000558.1,NZ_JOAW01000859.1,NZ_JOAW01000933.1,NZ_JOAW01000992.1,NZ_JOAW01001260.1,NZ_JOAW01001307.1,NZ_JOAW01001382.1,NZ_JOAW01001493.1,NZ_JOAX01000037.1,NZ_JOBE01000041.1,NZ_JOBE01000086.1,NZ_JOBE01000104.1,NZ_JOBE01000128.1,NZ_JOBE01000140.1,NZ_JOBE01000157.1,NZ_JOBE01000161.1,NZ_JOBX01000088.1,NZ_JOFW01000049.1,NZ_JOHO01000181.1,NZ_JOHZ01000047.1,NZ_JOHZ01000048.1,NZ_JOIB01000055.1,NZ_JOIB01000088.1,NZ_JOIF01000016.1,NZ_JOIF01000027.1,NZ_JOIX01000158.1,NZ_JPEN01000068.1,NZ_JTDA01000008.1,NZ_KB291604.1,NZ_KB851182.1,NZ_KB894130.1,NZ_KB894146.1,NZ_KB894156.1,NZ_KB894650.1,NZ_KB905466.1,NZ_KB905467.1,NZ_KB905472.1,NZ_KB905473.1,NZ_KB905474.1,NZ_KB905475.1,NZ_KE159493.1,NZ_KE159504.1,NZ_KE159506.1,NZ_KE159507.1,NZ_KE159509.1,NZ_KE159510.1,NZ_KE159511.1,NZ_KE159512.1,NZ_KE340299.1,NZ_KE386488.1,NZ_KI440802.1,NZ_KN214134.1,NZ_KQ033912.1,NZ_KQ235757.1,NZ_KQ235758.1,NZ_KQ235759.1,NZ_KQ235760.1,NZ_KQ235761.1,NZ_KQ235762.1,NZ_KQ235764.1,NZ_KQ235771.1,NZ_KQ235772.1,NZ_KQ235773.1,NZ_KQ968722.1,NZ_KQ968741.1,NZ_KQ968743.1,NZ_KV790980.1,NZ_KV794228.1,NZ_KV795621.1,NZ_KV804240.1,NZ_KV804319.1,NZ_KV804412.1,NZ_KV810536.1,NZ_KV820006.1,NZ_KV820052.1,NZ_KV826443.1,NZ_KV826451.1,NZ_KV826453.1,NZ_KV826459.1,NZ_KV826482.1,NZ_KV826567.1,NZ_KV837626.1,NZ_LBBT01000215.1,NZ_LBMX01000079.1,NZ_LFIO01000801.1,NZ_LFQU01000017.1,NZ_LFQU01000021.1,NZ_LFQU01000073.1,NZ_LM994668.1,NZ_LN929897.1,NZ_LNII01000164.1,NZ_LNIO01000136.1,NZ_LRBF01000230.1,NZ_LSJH01001011.1,NZ_LT556049.1,NZ_LT635801.1,NZ_LT635833.1,NZ_LT635835.1,NZ_LT635837.1,NZ_LT669935.1,NZ_LT670820.1,NZ_LT707006.1,NZ_LZSV01000021.1,NZ_LZSZ01000039.1,NZ_LZTA01000059.1,NZ_LZTA01000102.1,NZ_LZTA01000103.1,NZ_LZTB01000035.1,NZ_LZTD01000027.1,NZ_MJIQ01000049.1,NZ_MJIQ01000105.1,NZ_MJIR01000020.1,NZ_MJIR01000034.1,NZ_MJIR01000057.1,NZ_MJIR01000122.1,NZ_NBNR01000092.1,NZ_NBNR01000165.1,NZ_NFHW01000004.1,NZ_NFHZ01000015.1,NZ_NFHZ01000020.1,NZ_NFJA01000002.1,NZ_NFJA01000127.1,NZ_NFJA01000146.1,NZ_NFJG01000017.1,NZ_NFJG01000019.1,NZ_NFJG01000023.1,NZ_NFJR01000020.1,NZ_NFJR01000023.1,NZ_NFJR01000030.1,NZ_NFJV01000026.1,NZ_NFJV01000045.1,NZ_NFKD01000005.1,NZ_NFKD01000014.1,NZ_NFLR01000028.1,NZ_NOIF01000159.1,NZ_NOIF01000395.1,NZ_NPJH01000040.1,NZ_NQMH01000001.1,NZ_OEST01000003.1,NZ_OEST01000010.1,NZ_PDIX01000218.1
NC_008618.1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_009614.1,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,,2.0,,,1.0,,,,,,,,,,3.0,,3.0,,,,,1.0,,,,,,,,,,,,6.0,,1.0,1.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_014933.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_015160.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_015164.1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_015166.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
NC_022239.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_022245.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AAVN02000016.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AP012330.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AQYB01000022.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
