,NC_013715.1,NC_014259.1,NC_021175.1,NC_022567.1,NZ_AAVN02000002.1,NZ_AAXW01000149.1,NZ_AJGR01000130.1,NZ_ALOW01000028.1,NZ_ALOW01000040.1,NZ_AMRJ01000086.1,NZ_AMSS01000011.1,NZ_AMSS01000016.1,NZ_AMSS01000027.1,NZ_AMSS01000044.1,NZ_AMSS01000067.1,NZ_AMST01000012.1,NZ_AMST01000015.1,NZ_AMST01000026.1,NZ_AMST01000027.1,NZ_AMST01000071.1,NZ_AMST01000072.1,NZ_AMST01000079.1,NZ_AMST01000091.1,NZ_AMST01000095.1,NZ_AMST01000099.1,NZ_AMST01000105.1,NZ_AMST01000130.1,NZ_AMST01000131.1,NZ_AOHQ01000014.1,NZ_BACU01000424.1,NZ_BAFU01000115.1,NZ_CP009257.1,NZ_CP016019.1,NZ_CP018909.1,NZ_CP020015.1,NZ_CP020588.1,NZ_CYYV01000003.1,NZ_CZJT01000067.1,NZ_CZJV02000012.1,NZ_FMIX01000004.1,NZ_GG705209.1,NZ_GL732463.1,NZ_GL945338.1,NZ_JEWE01000038.1,NZ_JEWG01000035.1,NZ_JEWG01000098.1,NZ_JEXG01000001.1,NZ_JEXG01000005.1,NZ_JEXG01000007.1,NZ_JEXG01000010.1,NZ_JEXG01000023.1,NZ_JEXG01000060.1,NZ_JEXS01000010.1,NZ_JEYA01000001.1,NZ_JEYA01000003.1,NZ_JEYA01000004.1,NZ_JEYA01000006.1,NZ_JEYA01000009.1,NZ_JEYB01000003.1,NZ_JEZN01000033.1,NZ_JFDA01000009.1,NZ_JFDA01000010.1,NZ_JFDA01000017.1,NZ_JFDA01000018.1,NZ_JFDW01000021.1,NZ_JFDY01000027.1,NZ_JFDY01000044.1,NZ_JFEX01000002.1,NZ_JFFH02000018.1,NZ_JFFH02000022.1,NZ_JFFH02000046.1,NZ_JFFH02000061.1,NZ_JFFH02000192.1,NZ_JFWX01000031.1,NZ_JFXC01000007.1,NZ_JFXG01000001.1,NZ_JFXG01000015.1,NZ_JFXG01000018.1,NZ_JFXZ01000006.1,NZ_JFYC01000001.1,NZ_JFYC01000002.1,NZ_JFYC01000004.1,NZ_JFYC01000005.1,NZ_JFYC01000007.1,NZ_JFYC01000012.1,NZ_JFYC01000014.1,NZ_JFYC01000026.1,NZ_JFYC01000027.1,NZ_JFYD01000001.1,NZ_JFYD01000003.1,NZ_JFYD01000004.1,NZ_JFYD01000005.1,NZ_JFYD01000006.1,NZ_JFYD01000007.1,NZ_JMNG01000001.1,NZ_JMNG01000019.1,NZ_JMNG01000026.1,NZ_JMNZ01000006.1,NZ_JMNZ01000008.1,NZ_JMNZ01000042.1,NZ_JNVM01000096.1,NZ_JOAW01000558.1,NZ_JPQO01000004.1,NZ_KB849200.1,NZ_KB849339.1,NZ_KB849372.1,NZ_KB849416.1,NZ_KB849419.1,NZ_KB849420.1,NZ_KB849542.1,NZ_KB849995.1,NZ_KB850049.1,NZ_KB850089.1,NZ_KB850201.1,NZ_KB850204.1,NZ_KB850206.1,NZ_KB850209.1,NZ_KE150464.1,NZ_KQ970818.1,NZ_KV794536.1,NZ_KV802665.1,NZ_KV805000.1,NZ_KV807487.1,NZ_KV808408.1,NZ_KV810418.1,NZ_KV810673.1,NZ_KV811623.1,NZ_KV812882.1,NZ_KV813694.1,NZ_KV815325.1,NZ_KV815330.1,NZ_KV815333.1,NZ_KV816920.1,NZ_KV816922.1,NZ_KV816924.1,NZ_KV841553.1,NZ_LFZR01000012.1,NZ_LFZR01000045.1,NZ_LGEL01000336.1,NZ_LGOW01000061.1,NZ_LJPG01000008.1,NZ_LJPG01000011.1,NZ_LJPG01000032.1,NZ_LJPG01000059.1,NZ_LJPG01000079.1,NZ_LMOE01000001.1,NZ_LMSB01000071.1,NZ_LRDR01000001.1,NZ_LRDR01000002.1,NZ_LRDR01000003.1,NZ_LRDR01000004.1,NZ_LRDR01000006.1,NZ_LRDR01000007.1,NZ_LRDR01000008.1,NZ_LRDR01000014.1,NZ_LRDR01000015.1,NZ_LRDR01000019.1,NZ_LT605059.1,NZ_LTAB01000098.1,NZ_LZSC01000066.1,NZ_LZSE01000001.1,NZ_LZSE01000015.1,NZ_LZSE01000027.1,NZ_LZSH01000161.1,NZ_LZSV01000021.1,NZ_LZSZ01000039.1,NZ_MJIQ01000010.1,NZ_MJIQ01000021.1,NZ_MJIQ01000027.1,NZ_MJIQ01000109.1,NZ_MKPY01000074.1,NZ_MPBI01000023.1,NZ_MPOR01000079.1,NZ_MRTK01000132.1,NZ_MSRF01000238.1,NZ_MUHV01000028.1,NZ_NAEX01000098.1,NZ_NAJR01000058.1,NZ_NDFI01000054.1,NZ_NPMW01000058.1,NZ_PEKU01000294.1,NZ_PEKU01000366.1,NZ_PEKU01000405.1,NZ_PHFG01000017.1,NZ_PHFG01000026.1,NZ_PIZR01000039.1,NZ_PIZR01000043.1
NC_013715.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_014259.1,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_021175.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_022567.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
NZ_AAVN02000002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
NZ_AAXW01000149.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AJGR01000130.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_ALOW01000028.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
NZ_ALOW01000040.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AMRJ01000086.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,
NZ_AMSS01000011.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
