,NZ_AAXW01000149.1,NZ_AJGR01000130.1,NZ_AMRJ01000086.1,NZ_AOHQ01000007.1,NZ_AOHQ01000014.1,NZ_AYLZ02000132.1,NZ_BACU01000424.1,NZ_BAFU01000115.1,NZ_BBUN01001207.1,NZ_CZJT01000026.1,NZ_CZJT01000039.1,NZ_CZJT01000066.1,NZ_CZJT01000067.1,NZ_CZJV02000012.1,NZ_FBWN01000081.1,NZ_FOKR01000019.1,NZ_JMQR01000270.1,NZ_JMQR01000282.1,NZ_JNVM01000096.1,NZ_JNWZ01000064.1,NZ_JNWZ01000101.1,NZ_JNXB01000021.1,NZ_JNXF01000118.1,NZ_JOAW01000758.1,NZ_JOEM01000045.1,NZ_JOEQ01000222.1,NZ_JPQD01000149.1,NZ_JPQD01000184.1,NZ_JPQD01000364.1,NZ_KV810669.1,NZ_KV810673.1,NZ_KV811623.1,NZ_LGEL01000191.1,NZ_LGEL01000214.1,NZ_LGEL01000222.1,NZ_LGEL01000336.1,NZ_LGOW01000061.1,NZ_LJIY01000039.1,NZ_LJRX01000175.1,NZ_LJRX01000445.1,NZ_LJSA01000210.1,NZ_LMCY01000030.1,NZ_LMFT01000035.1,NZ_LMHD01000027.1,NZ_LMSB01000071.1,NZ_LOQF01000016.1,NZ_LQZT01000036.1,NZ_LSJL01000192.1,NZ_LTAB01000093.1,NZ_LTAB01000098.1,NZ_LYRQ01000127.1,NZ_LZSC01000004.1,NZ_LZSC01000031.1,NZ_LZSC01000039.1,NZ_LZSC01000061.1,NZ_LZSE01000001.1,NZ_LZSE01000015.1,NZ_LZSE01000027.1,NZ_LZSH01000161.1,NZ_MBQA01000135.1,NZ_MKPY01000053.1,NZ_MKPY01000074.1,NZ_MKQB01000042.1,NZ_MPBI01000023.1,NZ_MPNT01000021.1,NZ_MPOR01000079.1,NZ_MPRK01000378.1,NZ_MRTK01000132.1,NZ_MRTK01000142.1,NZ_MSRF01000238.1,NZ_MTQB01000071.1,NZ_MUHV01000028.1,NZ_MUHV01000033.1,NZ_MVKV01000055.1,NZ_NAEX01000054.1,NZ_NAEX01000098.1,NZ_NAJR01000058.1,NZ_NDFI01000054.1,NZ_NDFI01000069.1,NZ_NHRF01000060.1,NZ_NHRF01000112.1,NZ_NOWF01000150.1,NZ_NPMW01000058.1,NZ_NPMW01000160.1,NZ_PEKU01000294.1,NZ_PEKU01000366.1,NZ_PEKU01000367.1,NZ_PEKU01000373.1,NZ_PEKU01000379.1,NZ_PEKU01000405.1,NZ_PEKU01000435.1,NZ_PIZR01000037.1,NZ_PIZR01000039.1,NZ_PIZR01000043.1,NZ_PIZR01000046.1
NZ_AAXW01000149.1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AJGR01000130.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AMRJ01000086.1,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,2.0,,,,,
NZ_AOHQ01000007.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AOHQ01000014.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
NZ_AYLZ02000132.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
NZ_BACU01000424.1,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
NZ_BAFU01000115.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_BBUN01001207.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CZJT01000026.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CZJT01000039.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
