,NZ_AP012324.1,NZ_AP012330.1,NZ_CZJT01000067.1,NZ_DS999574.1,NZ_FBWL01000145.1,NZ_FBWN01000028.1,NZ_FBWN01000104.1,NZ_FBWN01000144.1,NZ_FUKO01000002.1,NZ_JOCH01000001.1,NZ_JODY01000003.1,NZ_KV820000.1,NZ_LMCY01000030.1,NZ_LMHD01000027.1,NZ_LZSC01000061.1,NZ_LZSQ01000037.1,NZ_LZSU01000040.1,NZ_LZSZ01000096.1,NZ_MPNT01000021.1,NZ_MPRK01000378.1,NZ_NPMW01000050.1,NZ_PEKU01000294.1,NZ_PEKU01000435.1,NZ_PJAI01000120.1
NZ_AP012324.1,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,
NZ_AP012330.1,,,,,,,,,,,,,,,,,,,1.0,,,,,
NZ_CZJT01000067.1,,,,,,,,,,,,,,,,2.0,,,,,,,,
NZ_DS999574.1,,,,,,,,,1.0,,,,,,,,,,,,,,,
NZ_FBWL01000145.1,,,,,,,,,,,,,,,,1.0,,,,,,,,
NZ_FBWN01000028.1,,,,,,,,,,,,,,,,1.0,,,,,,,,
NZ_FBWN01000104.1,,,,,,,,,,,,,,,,1.0,,,,,,,,
NZ_FBWN01000144.1,,,,,,,,,,,,,,,,1.0,,,,,,,,
NZ_FUKO01000002.1,,,,1.0,,,,,,,,,,,,,,,,,,,,
NZ_JOCH01000001.1,1.0,,,,,,,,,,,,,,,,,,,,,,,
NZ_JODY01000003.1,,,,,,,,,,,,,,,,1.0,,,,,,,,
NZ_KV820000.1,,,,,,,,,,,,,,,,1.0,,,,,,,,
NZ_LMCY01000030.1,,,,,,,,,,,,,,,,2.0,,,,,,,,
NZ_LMHD01000027.1,,,,,,,,,,,,,,,,2.0,,,,,,,,
NZ_LZSC01000061.1,,,,,,,,,,,,,,,,2.0,,,,,,,,
NZ_LZSQ01000037.1,,,2.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,2.0,2.0,,,,,2.0,1.0,1.0,1.0,2.0
NZ_LZSU01000040.1,1.0,,,,,,,,,,,,,,,,,,,,,,,
NZ_LZSZ01000096.1,1.0,,,,,,,,,,,,,,,,,,,,,,,
NZ_MPNT01000021.1,,1.0,,,,,,,,,,,,,,,,,,,,,,
NZ_MPRK01000378.1,,,,,,,,,,,,,,,,2.0,,,,,,,,
NZ_NPMW01000050.1,,,,,,,,,,,,,,,,1.0,,,,,,,,
NZ_PEKU01000294.1,,,,,,,,,,,,,,,,1.0,,,,,,,,
NZ_PEKU01000435.1,,,,,,,,,,,,,,,,1.0,,,,,,,,
NZ_PJAI01000120.1,,,,,,,,,,,,,,,,2.0,,,,,,,,
