,NZ_CP018757.1,NZ_LZST01000178.1,NZ_LZSV01000021.1,NZ_MDJQ01000001.1,NZ_MJIR01000043.1,NZ_MJIR01000084.1
NZ_CP018757.1,,1.0,,,,
NZ_LZST01000178.1,1.0,,,,,
NZ_LZSV01000021.1,,,,1.0,1.0,1.0
NZ_MDJQ01000001.1,,,1.0,,,
NZ_MJIR01000043.1,,,1.0,,,
NZ_MJIR01000084.1,,,1.0,,,
