,NC_004337.2,NC_007519.1,NC_007606.1,NC_008618.1,NC_011740.1,NC_013717.1,NC_020063.1,NZ_AEJW01000030.1,NZ_AEJW01000162.1,NZ_AEJW01000201.1,NZ_AEJX01000004.1,NZ_AEJX01000009.1,NZ_AEJX01000017.1,NZ_AEJX01000024.1,NZ_AEJX01000076.1,NZ_AEJX01000084.1,NZ_AEJX01000086.1,NZ_AEJX01000102.1,NZ_AEJX01000111.1,NZ_AEJX01000122.1,NZ_AEJX01000139.1,NZ_AEJX01000148.1,NZ_AEJX01000186.1,NZ_AEJX01000220.1,NZ_AEJX01000292.1,NZ_AEJX01000361.1,NZ_AEJX01000393.1,NZ_AEJX01000501.1,NZ_AEJZ01000014.1,NZ_AEJZ01000041.1,NZ_AEJZ01000046.1,NZ_AEJZ01000054.1,NZ_AEJZ01000079.1,NZ_AEJZ01000159.1,NZ_AEJZ01000175.1,NZ_AEJZ01000223.1,NZ_AEJZ01000229.1,NZ_AEJZ01000232.1,NZ_AEJZ01000296.1,NZ_AEJZ01000302.1,NZ_AEJZ01000452.1,NZ_AEJZ01000466.1,NZ_AEKA01000002.1,NZ_AEKA01000020.1,NZ_AEKA01000035.1,NZ_AEKA01000046.1,NZ_AEKA01000059.1,NZ_AEKA01000104.1,NZ_AEKA01000111.1,NZ_AEKA01000117.1,NZ_AEKA01000120.1,NZ_AEKA01000125.1,NZ_AEKA01000138.1,NZ_AEKA01000186.1,NZ_AEKA01000189.1,NZ_AEKA01000200.1,NZ_AEKA01000201.1,NZ_AEKA01000215.1,NZ_AEKA01000220.1,NZ_AEKA01000221.1,NZ_AEKA01000261.1,NZ_AEKA01000280.1,NZ_AEKA01000289.1,NZ_AEKA01000347.1,NZ_AEKA01000395.1,NZ_AEKA01000402.1,NZ_AEKA01000406.1,NZ_AEKA01000425.1,NZ_AEME01000001.1,NZ_AMJQ01000004.1,NZ_AMJQ01000007.1,NZ_AMJQ01000013.1,NZ_AMJQ01000020.1,NZ_AMJQ01000036.1,NZ_AMJQ01000037.1,NZ_AMJQ01000044.1,NZ_AMJQ01000050.1,NZ_AMJQ01000052.1,NZ_AMJQ01000064.1,NZ_AMJQ01000067.1,NZ_AMJQ01000068.1,NZ_AMJQ01000085.1,NZ_AMJQ01000086.1,NZ_AMJQ01000087.1,NZ_AMJQ01000089.1,NZ_AMJQ01000092.1,NZ_AMJQ01000093.1,NZ_AMJQ01000111.1,NZ_AMJQ01000119.1,NZ_AMJQ01000120.1,NZ_AMJQ01000129.1,NZ_AMJQ01000130.1,NZ_AMJQ01000136.1,NZ_AMJQ01000146.1,NZ_AMJQ01000152.1,NZ_AMJQ01000153.1,NZ_AMJQ01000160.1,NZ_AMJQ01000161.1,NZ_AMJQ01000163.1,NZ_AMJQ01000169.1,NZ_AMJQ01000195.1,NZ_AMJQ01000206.1,NZ_AMJQ01000210.1,NZ_AMJQ01000231.1,NZ_AMJQ01000234.1,NZ_AMJQ01000237.1,NZ_AMJQ01000241.1,NZ_AMJQ01000257.1,NZ_AMJQ01000260.1,NZ_AMJQ01000267.1,NZ_AMJQ01000450.1,NZ_AMJQ01000540.1,NZ_AMJQ01000542.1,NZ_AMJQ01000548.1,NZ_AMJQ01000561.1,NZ_AMJQ01000562.1,NZ_AMJQ01000570.1,NZ_AMJQ01000574.1,NZ_AP012324.1,NZ_ATMI01000013.1,NZ_CP006569.1,NZ_CP007557.1,NZ_CP014015.1,NZ_CP014768.1,NZ_CP017183.1,NZ_CP017451.1,NZ_CP017475.1,NZ_CP022120.1,NZ_CP023185.1,NZ_CP023504.1,NZ_CP023529.1,NZ_CP024282.1,NZ_CP024885.1,NZ_CP025461.1,NZ_CYUC01000003.1,NZ_CYUC01000006.1,NZ_CYUC01000008.1,NZ_CYUC01000013.1,NZ_CYUC01000039.1,NZ_CYUC01000052.1,NZ_CYUC01000055.1,NZ_CYUC01000063.1,NZ_CYUC01000084.1,NZ_FBWN01000038.1,NZ_FBWN01000095.1,NZ_FBWN01000233.1,NZ_FBWO01000042.1,NZ_FCJL01000009.1,NZ_FCOP01000011.1,NZ_FLYB01000018.1,NZ_FMBC01000043.1,NZ_FOYH01000006.1,NZ_FRFF01000140.1,NZ_FUGH01000001.1,NZ_FUGH01000005.1,NZ_FUGH01000006.1,NZ_FUGH01000007.1,NZ_FUGH01000008.1,NZ_FUGH01000009.1,NZ_FUGH01000010.1,NZ_FUGH01000013.1,NZ_FUGH01000014.1,NZ_FUGH01000015.1,NZ_FUGH01000016.1,NZ_FUGH01000018.1,NZ_FUGH01000019.1,NZ_FUGH01000020.1,NZ_FUGH01000026.1,NZ_FUGH01000027.1,NZ_FUGH01000028.1,NZ_FUGH01000030.1,NZ_FUGH01000031.1,NZ_FUGH01000034.1,NZ_FUGH01000036.1,NZ_FUGH01000038.1,NZ_FUGH01000041.1,NZ_FUGH01000042.1,NZ_FUGH01000044.1,NZ_FUGH01000046.1,NZ_FUGH01000047.1,NZ_FUGH01000049.1,NZ_FUGH01000053.1,NZ_FUGH01000056.1,NZ_FUGH01000059.1,NZ_FUGH01000061.1,NZ_FUGH01000062.1,NZ_FUGH01000063.1,NZ_FUGH01000064.1,NZ_FUGH01000065.1,NZ_FUGH01000068.1,NZ_FUGH01000069.1,NZ_FUGH01000070.1,NZ_FUGH01000074.1,NZ_FUGH01000077.1,NZ_FUGH01000078.1,NZ_FUGH01000080.1,NZ_FUGH01000081.1,NZ_FUGH01000085.1,NZ_FUGH01000086.1,NZ_FUGH01000087.1,NZ_FUGH01000089.1,NZ_FUGH01000092.1,NZ_FUGH01000094.1,NZ_FUGH01000095.1,NZ_FUGH01000101.1,NZ_FUGH01000103.1,NZ_FUGH01000108.1,NZ_FUGH01000109.1,NZ_FUGH01000113.1,NZ_FUGH01000114.1,NZ_FUGH01000116.1,NZ_FUGH01000129.1,NZ_FUGH01000133.1,NZ_FUGH01000136.1,NZ_FUGH01000142.1,NZ_FUGH01000154.1,NZ_FUGH01000155.1,NZ_FUGH01000158.1,NZ_FUGH01000165.1,NZ_FUGH01000175.1,NZ_FUGH01000177.1,NZ_FUGH01000186.1,NZ_FUGH01000206.1,NZ_FUGH01000217.1,NZ_FUGH01000222.1,NZ_FUGH01000229.1,NZ_FUGH01000230.1,NZ_FUGH01000233.1,NZ_FUGH01000256.1,NZ_FUGH01000263.1,NZ_FUGH01000267.1,NZ_FUGH01000277.1,NZ_FUGH01000281.1,NZ_FUGH01000282.1,NZ_FUGH01000291.1,NZ_FUGH01000292.1,NZ_FUGH01000301.1,NZ_FUGH01000334.1,NZ_FUKO01000002.1,NZ_GG730302.1,NZ_JAQB01000028.1,NZ_JAQB01000131.1,NZ_JGVP01000012.1,NZ_JH660539.1,NZ_JH660540.1,NZ_JH660541.1,NZ_JH815253.1,NZ_JH815271.1,NZ_JH815273.1,NZ_JOEE01000007.1,NZ_JOFU01000036.1,NZ_JOIB01000055.1,NZ_JOIF01000027.1,NZ_JRMN01000114.1,NZ_JUMS01000019.1,NZ_JZYC01000003.1,NZ_JZYJ01000002.1,NZ_JZYX01000078.1,NZ_JZZX01000074.1,NZ_KB976064.1,NZ_KE136722.1,NZ_KE136724.1,NZ_KE136725.1,NZ_KE136726.1,NZ_KE137292.1,NZ_KE137295.1,NZ_KE137316.1,NZ_KE138677.1,NZ_KI973212.1,NZ_KN714334.1,NZ_KN714345.1,NZ_KN714355.1,NZ_KQ089837.1,NZ_KQ235739.1,NZ_KQ235741.1,NZ_KQ235745.1,NZ_KQ235746.1,NZ_KV824233.1,NZ_KZ559414.1,NZ_LFHY01000003.1,NZ_LFHY01000004.1,NZ_LFHY01000005.1,NZ_LFHY01000008.1,NZ_LFHY01000010.1,NZ_LFHY01000011.1,NZ_LFHY01000012.1,NZ_LFHY01000013.1,NZ_LFHY01000014.1,NZ_LFHY01000015.1,NZ_LFHY01000016.1,NZ_LFHY01000018.1,NZ_LFHY01000025.1,NZ_LFHY01000026.1,NZ_LIFV01000004.1,NZ_LJRX01000264.1,NZ_LOMM01000001.1,NZ_LOMM01000066.1,NZ_LRCX01000085.1,NZ_LRCX01000159.1,NZ_LSIX01000427.1,NZ_LT905143.1,NZ_LT906474.1,NZ_LUGB01000001.1,NZ_LUGC01000042.1,NZ_LVVA01000021.1,NZ_LXER01000006.1,NZ_LZIQ01000065.1,NZ_LZSM01000016.1,NZ_LZSM01000065.1,NZ_LZSZ01000011.1,NZ_LZSZ01000039.1,NZ_LZSZ01000072.1,NZ_LZSZ01000096.1,NZ_LZSZ01000124.1,NZ_MDJQ01000006.1,NZ_MNKX01000081.1,NZ_MNKX01000094.1,NZ_MNKX01000111.1,NZ_MNKX01000113.1,NZ_MNKX01000124.1,NZ_MNKX01000125.1,NZ_MPNT01000021.1,NZ_MRAQ01000033.1,NZ_MSJS02000003.1,NZ_MSJS02000007.1,NZ_MSJS02000008.1,NZ_MSJS02000017.1,NZ_MSJS02000019.1,NZ_MSJS02000023.1,NZ_MSJS02000025.1,NZ_MSJS02000029.1,NZ_MSJS02000034.1,NZ_MSJS02000035.1,NZ_MSJS02000037.1,NZ_MSJS02000046.1,NZ_MSJS02000052.1,NZ_MSJS02000057.1,NZ_MSJS02000060.1,NZ_MSJS02000063.1,NZ_MSJS02000068.1,NZ_MSJS02000079.1,NZ_MSJS02000083.1,NZ_MSJS02000091.1,NZ_MSJS02000103.1,NZ_MSJS02000110.1,NZ_MSJS02000114.1,NZ_MSJS02000122.1,NZ_MSJS02000138.1,NZ_MSJS02000177.1,NZ_MTCJ01000023.1,NZ_NSCC01000096.1,NZ_NSCC01000102.1,NZ_PDEL01000018.1,NZ_PDIX01000218.1,NZ_PDIX01000276.1,NZ_PDIX01000290.1,NZ_PDIX01000406.1,NZ_PGWQ01000002.1
NC_004337.2,,,5.0,,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,,,2.0,,1.0,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,1.0,2.0,1.0,,1.0,5.0,,2.0,,,,,,1.0,,,,,1.0,,,,,2.0,,1.0,1.0,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,2.0,,,,,,,3.0,,14.0,2.0,4.0,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,3.0,,3.0,,
NC_007519.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_007606.1,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,2.0,,4.0,,2.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,
NC_008618.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_011740.1,2.0,,5.0,,,,,,1.0,1.0,,,,,,,,,,,,,,5.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,3.0,,6.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,3.0,,,,1.0,,,,,,,,,1.0,,,,
NC_013717.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_020063.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AEJW01000030.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AEJW01000162.1,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AEJW01000201.1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AEJX01000004.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
NZ_AEJX01000009.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
