,NZ_AOHQ01000014.1,NZ_LMCY01000030.1,NZ_LMHD01000027.1,NZ_LXSU01000122.1,NZ_LZSE01000001.1,NZ_LZSE01000015.1,NZ_LZSE01000027.1,NZ_LZSH01000161.1,NZ_LZSQ01000037.1,NZ_LZSQ01000106.1,NZ_PEKU01000294.1,NZ_PEKU01000405.1,NZ_PEKU01000435.1
NZ_AOHQ01000014.1,,,,,,,,1.0,1.0,,,,
NZ_LMCY01000030.1,,,1.0,,,,,,,,,,
NZ_LMHD01000027.1,,1.0,,,,,,,,1.0,,,
NZ_LXSU01000122.1,,,,,,1.0,,,,,,,
NZ_LZSE01000001.1,,,,,,1.0,,,,,,,
NZ_LZSE01000015.1,,,,1.0,1.0,,,,,,,,
NZ_LZSE01000027.1,,,,,,,,1.0,,,,,
NZ_LZSH01000161.1,1.0,,,,,,1.0,,,,,,
NZ_LZSQ01000037.1,1.0,,,,,,,,,,,,
NZ_LZSQ01000106.1,,,1.0,,,,,,,,,,1.0
NZ_PEKU01000294.1,,,,,,,,,,,,1.0,
NZ_PEKU01000405.1,,,,,,,,,,,1.0,,
NZ_PEKU01000435.1,,,,,,,,,,1.0,,,
