,NC_012778.1,NC_012781.1,NC_014246.1,NC_014410.1,NC_014933.1,NC_015160.1,NC_017581.1,NC_018011.1,NC_021030.1,NC_021039.1,NC_022567.1,NZ_AAVN02000002.1,NZ_AAVN02000003.1,NZ_AAXA02000009.1,NZ_AAXA02000015.1,NZ_ACEP01000002.1,NZ_ACEP01000007.1,NZ_ACEP01000011.1,NZ_ACEP01000033.1,NZ_ACEP01000034.1,NZ_ACEP01000043.1,NZ_ACEP01000053.1,NZ_ACEP01000063.1,NZ_ACEP01000064.1,NZ_ACEP01000075.1,NZ_ACEP01000084.1,NZ_ACEP01000089.1,NZ_ACEP01000095.1,NZ_ACEP01000106.1,NZ_ACEP01000112.1,NZ_ACEP01000122.1,NZ_ACEP01000131.1,NZ_ACEP01000133.1,NZ_ACEP01000143.1,NZ_ACEP01000171.1,NZ_ACEP01000174.1,NZ_ACFY01000144.1,NZ_ACII02000002.1,NZ_ACII02000003.1,NZ_AP012324.1,NZ_AP012330.1,NZ_ATVU01000001.1,NZ_ATVU01000005.1,NZ_ATVU01000011.1,NZ_ATVU01000018.1,NZ_AYLZ02000053.1,NZ_BAIF02000019.1,NZ_BAKL01000003.1,NZ_BAKL01000149.1,NZ_BBAB01000012.1,NZ_BBDW01000001.1,NZ_BBDW01000002.1,NZ_BBDW01000005.1,NZ_BBDW01000008.1,NZ_BBDW01000010.1,NZ_BBDW01000012.1,NZ_BBDW01000014.1,NZ_BBDW01000015.1,NZ_CAPH01000003.1,NZ_CAPH01000004.1,NZ_CAPH01000005.1,NZ_CAPH01000006.1,NZ_CAPH01000017.1,NZ_CAPH01000018.1,NZ_CAPH01000023.1,NZ_CP012098.1,NZ_CP012938.1,NZ_CP015401.2,NZ_CP022412.2,NZ_CP022474.1,NZ_CYYV01000001.1,NZ_CYZA01000006.1,NZ_CYZA01000014.1,NZ_CYZN01000002.1,NZ_CYZN01000019.1,NZ_CYZN01000020.1,NZ_CYZN01000021.1,NZ_CZAG01000001.1,NZ_CZAG01000003.1,NZ_CZAG01000005.1,NZ_DF158898.1,NZ_DS264392.1,NZ_DS264398.1,NZ_DS264399.1,NZ_DS264418.1,NZ_DS362220.1,NZ_DS362245.1,NZ_DS362246.1,NZ_DS362247.1,NZ_DS480312.1,NZ_DS483473.1,NZ_DS499554.1,NZ_DS499565.1,NZ_DS499577.1,NZ_DS499579.1,NZ_DS499580.1,NZ_DS499581.1,NZ_DS499662.1,NZ_DS499665.1,NZ_DS499666.1,NZ_DS499667.1,NZ_DS499668.1,NZ_DS499671.1,NZ_DS499672.1,NZ_DS499673.1,NZ_DS499674.1,NZ_DS499675.1,NZ_DS499676.1,NZ_DS499677.1,NZ_DS547001.1,NZ_DS547024.1,NZ_DS547026.1,NZ_DS547028.1,NZ_DS547029.1,NZ_DS990163.1,NZ_DS990170.1,NZ_DS990191.1,NZ_DS990200.1,NZ_DS990201.1,NZ_FBWL01000032.1,NZ_FBWL01000046.1,NZ_FBWL01000068.1,NZ_FBWL01000074.1,NZ_FBWL01000079.1,NZ_FBWL01000083.1,NZ_FBWL01000089.1,NZ_FBWL01000108.1,NZ_FBWL01000120.1,NZ_FBWL01000138.1,NZ_FBWL01000145.1,NZ_FBWN01000028.1,NZ_FBWN01000054.1,NZ_FBWN01000075.1,NZ_FBWN01000090.1,NZ_FBWN01000119.1,NZ_FBWN01000181.1,NZ_FBWN01000190.1,NZ_FBWN01000242.1,NZ_FBWN01000270.1,NZ_FBWN01000272.1,NZ_FBWN01000295.1,NZ_FLKM01000008.1,NZ_FMUW01000005.1,NZ_FMUW01000024.1,NZ_FNWC01000007.1,NZ_FOBY01000009.1,NZ_FQXY01000009.1,NZ_FWFG01000052.1,NZ_GG657557.1,NZ_GG657559.1,NZ_GG662006.1,NZ_GG662007.1,NZ_GG662013.1,NZ_GG662014.1,NZ_GG692713.1,NZ_GG692721.1,NZ_GG692726.1,NZ_GG692727.1,NZ_GG692742.1,NZ_GG692753.1,NZ_GG692777.1,NZ_GG697149.2,NZ_GG697150.2,NZ_GG697151.2,NZ_GG697152.2,NZ_GG697154.2,NZ_GG697155.2,NZ_GG697156.2,NZ_GG705228.1,NZ_GG730105.1,NZ_GG730106.1,NZ_GG730107.1,NZ_GG774981.1,NZ_GL622401.1,NZ_GL622406.1,NZ_GL622500.1,NZ_GL622538.1,NZ_GL622541.1,NZ_GL622542.1,NZ_GL622545.1,NZ_GL622546.1,NZ_GL622554.1,NZ_GL622580.1,NZ_GL882581.1,NZ_GL882591.1,NZ_GL882689.1,NZ_GL883870.1,NZ_GL945100.1,NZ_GL945164.1,NZ_GL945336.1,NZ_GL945337.1,NZ_GL945338.1,NZ_GL945339.1,NZ_GL945341.1,NZ_GL945346.1,NZ_HE611014.1,NZ_HE611015.1,NZ_HE978577.1,NZ_HE978651.1,NZ_HF545616.1,NZ_HF545617.1,NZ_JAGH01000002.1,NZ_JAGQ01000004.1,NZ_JANI01000044.1,NZ_JH114353.1,NZ_JH114377.1,NZ_JH376579.1,NZ_JH376591.1,NZ_JH414698.1,NZ_JH594448.1,NZ_JH636026.1,NZ_JH636041.1,NZ_JH636046.1,NZ_JH815203.1,NZ_JH815204.1,NZ_JH815205.1,NZ_JH815206.1,NZ_JNWL01000010.1,NZ_JNWN01000087.1,NZ_JNWO01000070.1,NZ_JNXF01000192.1,NZ_JODY01000003.1,NZ_JOFZ01000093.1,NZ_JOIZ01000026.1,NZ_JPJG01000013.1,NZ_JPJG01000034.1,NZ_JROX01000223.1,NZ_JXXK01000001.1,NZ_KB907520.1,NZ_KE137316.1,NZ_KE150441.1,NZ_KE150442.1,NZ_KE150480.1,NZ_KE150482.1,NZ_KE159511.1,NZ_KE159646.1,NZ_KE992421.1,NZ_KE992657.1,NZ_KE993421.1,NZ_KI271096.1,NZ_KI391947.1,NZ_KI535270.1,NZ_KN214134.1,NZ_KN214135.1,NZ_KN214136.1,NZ_KQ235757.1,NZ_KQ235760.1,NZ_KQ235805.1,NZ_KQ235824.1,NZ_KQ235828.1,NZ_KQ960697.1,NZ_KQ968725.1,NZ_LLWI01000031.1,NZ_LM651457.1,NZ_LM651458.1,NZ_LM651459.1,NZ_LM651460.1,NZ_LM651461.1,NZ_LM651462.1,NZ_LM651463.1,NZ_LN866274.1,NZ_LN913006.1,NZ_LT635454.1,NZ_LT635479.1,NZ_LT635539.1,NZ_LT635549.1,NZ_LT700187.1,NZ_LT700189.1,NZ_LT962679.1,NZ_LT962687.1,NZ_LXUH01000065.1,NZ_LZSM01000065.1,NZ_LZSW01000016.1,NZ_LZSW01000037.1,NZ_LZSW01000041.1,NZ_LZSZ01000039.1,NZ_LZSZ01000096.1,NZ_LZTB01000082.1,NZ_LZTE01000035.1,NZ_LZTE01000036.1,NZ_LZTE01000044.1,NZ_LZTE01000050.1,NZ_MJIQ01000005.1,NZ_MJIQ01000010.1,NZ_MJIQ01000027.1,NZ_MJIQ01000109.1,NZ_MWJM01000031.1,NZ_MWJM01000033.1,NZ_NFID01000008.1,NZ_NFID01000024.1,NZ_NFIQ01000048.1,NZ_NFKI01000001.1,NZ_NFKJ01000006.1,NZ_NFLH01000005.1,NZ_NGLE01000002.1,NZ_NJNP01000001.1,NZ_NQMH01000001.1,NZ_NVQF01000147.1,NZ_OBMS01000004.1,NZ_OBMS01000005.1,NZ_OBMS01000007.1,NZ_OBMS01000009.1,NZ_OBMS01000013.1,NZ_OBMS01000015.1,NZ_OBMS01000021.1,NZ_OBMS01000032.1,NZ_OCTT01000001.1,NZ_OEPZ01000001.1,NZ_OEPZ01000003.1,NZ_OEPZ01000005.1
NC_012778.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
NC_012781.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,2.0,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,,
NC_014246.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
NC_014410.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
NC_014933.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NC_015160.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NC_017581.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
NC_018011.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
NC_021030.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
NC_021039.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
NC_022567.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
