,NZ_CP016019.1,NZ_KV804879.1,NZ_KV835205.1,NZ_LZSQ01000106.1
NZ_CP016019.1,,,,1.0
NZ_KV804879.1,,,2.0,
NZ_KV835205.1,,2.0,,
NZ_LZSQ01000106.1,1.0,,,
