,NZ_AAXW01000149.1,NZ_AJGR01000130.1,NZ_AMRJ01000086.1,NZ_AOHQ01000014.1,NZ_BACU01000424.1,NZ_BAFU01000112.1,NZ_BAFU01000115.1,NZ_BAFU01000147.1,NZ_CP016603.1,NZ_CZJT01000026.1,NZ_CZJT01000039.1,NZ_CZJT01000066.1,NZ_CZJV02000012.1,NZ_CZJV02000114.1,NZ_CZJV02000185.1,NZ_FBWL01000140.1,NZ_JMQR01000270.1,NZ_JMQR01000282.1,NZ_JNVM01000096.1,NZ_JPQD01000184.1,NZ_JPQD01000381.1,NZ_KV810673.1,NZ_KV811623.1,NZ_LGEL01000191.1,NZ_LGEL01000222.1,NZ_LGEL01000336.1,NZ_LGOW01000026.1,NZ_LGOW01000061.1,NZ_LIVN01000173.1,NZ_LJIY01000039.1,NZ_LJSA01000210.1,NZ_LMCY01000030.1,NZ_LMHD01000027.1,NZ_LMSB01000071.1,NZ_LTAB01000098.1,NZ_LZSC01000039.1,NZ_LZSC01000061.1,NZ_LZSE01000001.1,NZ_LZSE01000015.1,NZ_LZSE01000027.1,NZ_LZSE01000128.1,NZ_LZSH01000161.1,NZ_LZSH01000356.1,NZ_MBQA01000135.1,NZ_MKPY01000053.1,NZ_MKPY01000074.1,NZ_MKQB01000032.1,NZ_MPBI01000023.1,NZ_MPNT01000021.1,NZ_MRTK01000132.1,NZ_MRTK01000142.1,NZ_MSRF01000238.1,NZ_NAEX01000098.1,NZ_NAJR01000058.1,NZ_NDFI01000038.1,NZ_NDFI01000069.1,NZ_NHRF01000060.1,NZ_NHRF01000112.1,NZ_NPMW01000058.1,NZ_NPMW01000160.1,NZ_NPMW01000218.1,NZ_PEKU01000294.1,NZ_PEKU01000405.1,NZ_PEKU01000435.1,NZ_PIZR01000039.1,NZ_PIZR01000040.1,NZ_PIZR01000043.1
NZ_AAXW01000149.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
NZ_AJGR01000130.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
NZ_AMRJ01000086.1,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,2.0,,,,
NZ_AOHQ01000014.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_BACU01000424.1,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
NZ_BAFU01000112.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_BAFU01000115.1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
NZ_BAFU01000147.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
NZ_CP016603.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
NZ_CZJT01000026.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CZJT01000039.1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CZJT01000066.1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CZJV02000012.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
NZ_CZJV02000114.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
