,NC_010655.1,NZ_AEJV01000028.1,NZ_AEME01000001.1,NZ_CP018757.1,NZ_CP020466.1,NZ_KQ235744.1,NZ_LZST01000178.1,NZ_NGLE01000002.1
NC_010655.1,,,,,,,,1.0
NZ_AEJV01000028.1,,,1.0,,,,,
NZ_AEME01000001.1,,1.0,,,,,,
NZ_CP018757.1,,,,,,,2.0,
NZ_CP020466.1,,,,,,1.0,,
NZ_KQ235744.1,,,,,1.0,,,
NZ_LZST01000178.1,,,,2.0,,,,
NZ_NGLE01000002.1,1.0,,,,,,,
