,NC_007606.1,NC_008261.1,NC_013216.1,NZ_AEJV01000252.1,NZ_AEJX01000233.1,NZ_AP012324.1,NZ_AP012331.1,NZ_BAKK01000101.1,NZ_BAKL01000028.1,NZ_CP014768.1,NZ_CP016019.1,NZ_CP018757.1,NZ_CP024282.1,NZ_DS362239.1,NZ_DS362246.1,NZ_DS362247.1,NZ_DS544183.1,NZ_FBWL01000032.1,NZ_FBWN01000119.1,NZ_GG730105.1,NZ_GG730106.1,NZ_GG730107.1,NZ_GL622500.1,NZ_GL622504.1,NZ_GL622625.1,NZ_GL622626.1,NZ_GL622627.1,NZ_GL622628.1,NZ_GL622630.1,NZ_GL622631.1,NZ_GL622632.1,NZ_GL622633.1,NZ_GL622634.1,NZ_GL622635.1,NZ_GL622639.1,NZ_GL622640.1,NZ_GL622641.1,NZ_GL622642.1,NZ_GL622644.1,NZ_GL622646.1,NZ_GL622649.1,NZ_GL622651.1,NZ_GL622659.1,NZ_GL882689.1,NZ_JGZK01000001.1,NZ_JH660541.1,NZ_JHWQ01000014.1,NZ_JNWO01000070.1,NZ_JOIC01000067.1,NZ_JOII01000001.1,NZ_JRMN01000109.1,NZ_KE386489.1,NZ_KQ235741.1,NZ_KQ235745.1,NZ_KQ235746.1,NZ_KV800998.1,NZ_LATL02000279.1,NZ_LFHY01000018.1,NZ_LFVU01000027.1,NZ_LMSN01000016.1,NZ_LZIC01000025.1,NZ_LZST01000178.1,NZ_LZSV01000013.1,NZ_LZSV01000021.1,NZ_LZSV01000042.1,NZ_LZSZ01000034.1,NZ_LZSZ01000101.1,NZ_LZTA01000024.1,NZ_LZTA01000083.1,NZ_LZTB01000010.1,NZ_LZTB01000018.1,NZ_LZTB01000073.1,NZ_LZTB01000104.1,NZ_LZTB01000129.1,NZ_LZTD01000143.1,NZ_LZTE01000025.1,NZ_NMWT01000007.1,NZ_NQMH01000001.1,NZ_NVQF01000004.1,NZ_OBMS01000005.1,NZ_OBMS01000008.1,NZ_OBMS01000013.1,NZ_OBMS01000020.1,NZ_OBMS01000022.1,NZ_OBMS01000030.1,NZ_OBMS01000032.1,NZ_OBMS01000035.1,NZ_OBMS01000048.1
NC_007606.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NC_008261.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
NC_013216.1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AEJV01000252.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AEJX01000233.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AP012324.1,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
NZ_AP012331.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NZ_BAKK01000101.1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_BAKL01000028.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP014768.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
