,NZ_CP018757.1,NZ_CYGX02000130.1,NZ_JOIO01000272.1,NZ_KV834538.1,NZ_KV838687.1,NZ_LSJL01000145.1,NZ_LZSU01000039.1,NZ_LZTD01000039.1,NZ_LZTD01000117.1,NZ_LZTD01000146.1
NZ_CP018757.1,,1.0,1.0,,,1.0,1.0,1.0,1.0,3.0
NZ_CYGX02000130.1,1.0,,,,,,,,,
NZ_JOIO01000272.1,1.0,,,,,,,,,
NZ_KV834538.1,,,,,1.0,,,,,
NZ_KV838687.1,,,,1.0,,,,,,
NZ_LSJL01000145.1,1.0,,,,,,,,,
NZ_LZSU01000039.1,1.0,,,,,,,,,
NZ_LZTD01000039.1,1.0,,,,,,,,,
NZ_LZTD01000117.1,1.0,,,,,,,,,
NZ_LZTD01000146.1,3.0,,,,,,,,,
