,NC_004337.2,NC_007606.1,NC_008618.1,NC_009349.1,NC_011740.1,NC_013204.1,NC_013716.1,NC_014933.1,NC_021021.1,NZ_AAVN02000001.1,NZ_AAVN02000002.1,NZ_AAVN02000003.1,NZ_AAVN02000004.1,NZ_AAVN02000005.1,NZ_AAVN02000006.1,NZ_AAVN02000007.1,NZ_AAVN02000008.1,NZ_AAVN02000009.1,NZ_AAVN02000011.1,NZ_AAVN02000012.1,NZ_AAVN02000013.1,NZ_AAVN02000014.1,NZ_AAVN02000017.1,NZ_AAVN02000020.1,NZ_AEJX01000098.1,NZ_AEJX01000314.1,NZ_AP012324.1,NZ_AP012325.1,NZ_AP012330.1,NZ_AUFI01000007.1,NZ_BAHQ02000441.1,NZ_BAID02000179.1,NZ_BAIF02000004.1,NZ_BBZV01000002.1,NZ_BBZV01000026.1,NZ_BDAI01000001.1,NZ_CP011531.1,NZ_CP015406.2,NZ_CP016019.1,NZ_CP018757.1,NZ_CP019962.1,NZ_CP022412.2,NZ_CP022474.1,NZ_CP024282.1,NZ_CZAG01000001.1,NZ_CZAG01000002.1,NZ_CZAG01000003.1,NZ_CZAG01000004.1,NZ_CZAG01000006.1,NZ_CZAG01000008.1,NZ_DS362246.1,NZ_DS362248.1,NZ_DS995349.1,NZ_DS995474.1,NZ_DS995476.1,NZ_DS999574.1,NZ_EQ973359.1,NZ_FBWL01000032.1,NZ_FBWL01000079.1,NZ_FBWN01000053.1,NZ_FBWN01000126.1,NZ_FBWN01000160.1,NZ_FBWN01000283.1,NZ_FMUW01000075.1,NZ_FNWI01000004.1,NZ_FOIM01000007.1,NZ_FOIM01000052.1,NZ_FOUY01000027.1,NZ_FUKO01000002.1,NZ_GG692710.1,NZ_GG705230.1,NZ_GG730105.1,NZ_GG730107.1,NZ_GG730108.1,NZ_GL622500.1,NZ_GL622625.1,NZ_GL622628.1,NZ_GL622629.1,NZ_GL622638.1,NZ_GL622641.1,NZ_GL622650.1,NZ_GL622659.1,NZ_GL622662.1,NZ_GL882621.1,NZ_GL945096.1,NZ_GL945334.1,NZ_GL945335.1,NZ_GL945336.1,NZ_GL945337.1,NZ_GL945338.1,NZ_GL945339.1,NZ_GL945340.1,NZ_GL945344.1,NZ_GL945345.1,NZ_GL945347.1,NZ_GL945348.1,NZ_GL945353.1,NZ_HE611016.1,NZ_HE978575.1,NZ_HE978651.1,NZ_JAFU01000003.1,NZ_JAGQ01000002.1,NZ_JAGQ01000004.1,NZ_JGYX01000001.1,NZ_JGYX01000002.1,NZ_JGYX01000004.1,NZ_JGYX01000005.1,NZ_JGYX01000007.1,NZ_JGZC01000001.1,NZ_JGZJ01000001.1,NZ_JGZJ01000004.1,NZ_JGZJ01000005.1,NZ_JGZJ01000006.1,NZ_JGZJ01000007.1,NZ_JGZJ01000008.1,NZ_JGZJ01000009.1,NZ_JGZJ01000010.1,NZ_JGZM01000001.1,NZ_JGZM01000004.1,NZ_JGZM01000005.1,NZ_JGZM01000007.1,NZ_JGZM01000008.1,NZ_JH114379.1,NZ_JH126467.1,NZ_JH126468.1,NZ_JH126469.1,NZ_JH126470.1,NZ_JH126471.1,NZ_JH126472.1,NZ_JH126473.1,NZ_JH126474.1,NZ_JH126475.1,NZ_JH590882.1,NZ_JH590969.1,NZ_JH599903.1,NZ_JH660541.1,NZ_JH815198.1,NZ_JH976465.1,NZ_JH992945.1,NZ_JNJP01000006.1,NZ_JNWU01000008.1,NZ_JNXF01000324.1,NZ_JOFK01000023.1,NZ_JOFY01000043.1,NZ_JOHV01000177.1,NZ_JOIZ01000026.1,NZ_JXAF01000030.1,NZ_JXXK01000018.1,NZ_KB892638.1,NZ_KB892661.1,NZ_KB892670.1,NZ_KB892673.1,NZ_KB894551.1,NZ_KE137316.1,NZ_KE138677.1,NZ_KE992254.1,NZ_KN214134.1,NZ_KN214135.1,NZ_KN214136.1,NZ_KN214137.1,NZ_KN214138.1,NZ_KN214139.1,NZ_KN214147.1,NZ_KN714346.1,NZ_KQ235739.1,NZ_KQ235740.1,NZ_KQ235741.1,NZ_KQ235745.1,NZ_KQ235746.1,NZ_KQ235749.1,NZ_KQ235758.1,NZ_KQ970862.1,NZ_KV804336.1,NZ_KV806106.1,NZ_KV818845.1,NZ_KV834646.1,NZ_LFIL01000032.1,NZ_LFIL01000035.1,NZ_LLXO01000037.1,NZ_LN877919.1,NZ_LN877920.1,NZ_LN913001.1,NZ_LSIW01000058.1,NZ_LT635539.1,NZ_LT671675.1,NZ_LWHO01000003.1,NZ_LZST01000034.1,NZ_LZST01000074.1,NZ_LZST01000173.1,NZ_LZST01000178.1,NZ_LZSZ01000039.1,NZ_LZTA01000024.1,NZ_LZTA01000083.1,NZ_MPNT01000021.1,NZ_NFHE01000067.1,NZ_NFIP01000006.1,NZ_NFJW01000003.1,NZ_NFMA01000038.1,NZ_NGLE01000002.1,NZ_NGLZ01000001.1,NZ_NJNP01000001.1,NZ_NJNP01000002.1,NZ_NJNP01000003.1,NZ_NJNP01000004.1,NZ_NJNQ01000001.1,NZ_NJNQ01000003.1,NZ_NJNQ01000004.1,NZ_NJNQ01000006.1,NZ_NJNQ01000008.1,NZ_NKXR01000001.1,NZ_NKXR01000002.1,NZ_NKXR01000003.1,NZ_NKXR01000004.1,NZ_NKXR01000005.1,NZ_NKXR01000006.1,NZ_NKXR01000007.1,NZ_NKXR01000008.1,NZ_NKXR01000009.1,NZ_NKXR01000010.1,NZ_NKXR01000011.1,NZ_NKXR01000012.1,NZ_NKXR01000013.1,NZ_NKXR01000014.1,NZ_NKXR01000015.1,NZ_NKXR01000017.1,NZ_NKXR01000019.1,NZ_NKXR01000020.1,NZ_NKXR01000024.1,NZ_NXNL01000001.1,NZ_NXNL01000002.1,NZ_NXNL01000003.1,NZ_NXNL01000004.1,NZ_NXNL01000005.1,NZ_NXNL01000006.1,NZ_OBMS01000005.1,NZ_OBMS01000008.1,NZ_OBMS01000011.1
NC_004337.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_007606.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_008618.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_009349.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_011740.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_013204.1,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_013716.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_014933.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_021021.1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AAVN02000001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_AAVN02000002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
